Expertise,AverageTeacherRating,AverageCourseRating,AveragePerformanceScore,TotalEnrollments,InstructorCount
Marketing,4.29,3.646666666666667,67.1764899195681,120,1
Digital Marketing,3.05,3.546758634262942,51.07553789315982,479,11
Machine Learning,4.234,2.7750558472669455,44.47517224077745,3303,5
Programming,3.95,2.9804878048780488,44.09269710069772,123,1
Data Science,3.0300000000000002,3.282659125587409,43.369828245983435,432,5
Cybersecurity,3.468888888888889,3.0383178176500767,42.60165915141168,3450,9
Finance,3.265,3.1659168156089197,42.20812703397964,410,6
Artificial Intelligence,3.1733333333333333,3.155289163932375,40.93648478060121,389,6
Project Management,2.664,3.0827800856887047,33.659873874472304,368,5
Design,2.29,3.160021593881671,32.168786958114374,324,4
Web Development,2.5140000000000002,2.944793523931312,28.03081185765105,344,5
Business,2.245,2.8042786706793876,21.54086140324369,258,2
